date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:52:18	77980/77980	---MCZ	200	added ('OK')	text/css	etag:W/%22666757d7-1309c%22	https://horizon.ancorathemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.9.3	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce3b11.css	(from https://horizon.ancorathemes.com/)
03:52:18	4404/4404	---M--	200	added ('OK')	font/woff2	etag:%2266584408-1134%22	https://horizon.ancorathemes.com/wp-content/plugins/ti-woocommerce-wishlist/assets/fonts/tinvwl-webfont.woff2?ver=xu2uyi	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/ti-woocommerce-wishlist/assets/fonts/tinvwl-webfontffc1.woff2	(from https://horizon.ancorathemes.com/)
03:52:19	3407/3407	---MCZ	200	added ('OK')	text/css	etag:W/%2266584408-d4f%22	https://horizon.ancorathemes.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/webfont.min.css?ver=2.8.2	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/webfont.min4dc3.css	(from https://horizon.ancorathemes.com/)
03:52:19	32758/32758	---MCZ	200	added ('OK')	text/css	etag:W/%2266584408-7ff6%22	https://horizon.ancorathemes.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/public.min.css?ver=2.8.2	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/public.min4dc3.css	(from https://horizon.ancorathemes.com/)
03:52:19	19778/19778	---MCZ	200	added ('OK')	text/css	etag:W/%2266584407-4d42%22	https://horizon.ancorathemes.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.29.0	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54b.css	(from https://horizon.ancorathemes.com/)
03:52:20	173813/173813	---MCZ	200	added ('OK')	text/css	etag:W/%2266585813-2a6f5%22	https://horizon.ancorathemes.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1717065747	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/uploads/elementor/css/custom-frontend.min0f65.css	(from https://horizon.ancorathemes.com/)
03:52:21	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2266584407-4057%22	https://horizon.ancorathemes.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://horizon.ancorathemes.com/)
03:52:22	334963/334963	---MCZ	200	added ('OK')	text/css	etag:W/%22667acd62-51c73%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/css/__styles.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/css/__styles.css	(from https://horizon.ancorathemes.com/)
03:52:22	213449/213449	---M--	200	added ('OK')	image/jpeg	etag:%226658440d-341c9%22	https://horizon.ancorathemes.com/wp-content/uploads/2023/03/urban-img-copyright-1.jpg	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/uploads/2023/03/urban-img-copyright-1.jpg	(from https://horizon.ancorathemes.com/)
03:52:22	4022/4022	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-fb6%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/image-effects/image-effects.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/image-effects/image-effects.css	(from https://horizon.ancorathemes.com/)
